1980,140402,城区
1980,140411,郊区
1980,142100,雁北地区
1980,142121,大同县
1980,142122,阳高县
1980,142123,天镇县
1980,142124,广灵县
1980,142125,灵丘县
1980,142126,浑源县
1980,142127,怀仁县
1980,142128,应县
1980,142129,山阴县
1980,142130,朔县
1980,142131,平鲁县
1980,142132,左云县
1980,142133,右玉县
1980,142200,忻县地区
1980,142221,忻县
1980,142222,原平县
1980,142223,代县
1980,142224,繁峙县
1980,142225,五台县
1980,142226,定襄县
1980,142227,静乐县
1980,142228,岢岚县
1980,142229,保德县
1980,142230,五寨县
1980,142231,河曲县
1980,142232,偏关县
1980,142233,神池县
1980,142234,宁武县
1980,142300,晋中地区
1980,142301,榆次市
1980,142321,榆次县
1980,142322,寿阳县
1980,142323,盂县
1980,142324,平定县
1980,142325,昔阳县
1980,142326,和顺县
1980,142327,左权县
1980,142328,榆社县
1980,142329,太谷县
1980,142330,祁县
1980,142331,平遥县
1980,142332,介休县
1980,142333,灵石县
1980,142400,吕梁地区
1980,142421,离石县
1980,142422,孝义县
1980,142423,兴县
1980,142424,交口县
1980,142425,方山县
1980,142426,石楼县
1980,142427,岚县
1980,142428,中阳县
1980,142429,交城县
1980,142430,临县
1980,142431,文水县
1980,142432,柳林县
1980,142433,汾阳县
1980,142500,晋东南地区
1980,142521,长治县
1980,142522,潞城县
1980,142523,襄垣县
1980,142524,武乡县
1980,142525,黎城县
1980,142526,平顺县
1980,142527,壶关县
1980,142528,陵川县
1980,142529,高平县
1980,142530,晋城县
1980,142531,阳城县
1980,142532,沁水县
1980,142533,长子县
1980,142534,屯留县
1980,142535,沁源县
1980,142536,沁县
1980,142600,临汾地区
1980,142601,临汾市
1980,142602,侯马市
1980,142621,临汾县
1980,142622,隰县
1980,142623,汾西县
1980,142624,永和县
1980,142625,安泽县
1980,142626,洪洞县
1980,142627,古县
1980,142628,霍县
1980,142629,翼城县
1980,142630,浮山县
1980,142631,曲沃县
1980,142632,襄汾县
1980,142633,吉县
1980,142634,乡宁县
1980,142635,大宁县
1980,142636,蒲县
1980,142700,运城地区
1980,142721,运城县
1980,142722,夏县
1980,142723,闻喜县
1980,142724,绛县
1980,142725,垣曲县
1980,142726,平陆县
1980,142727,芮城县
1980,142728,永济县
1980,142729,临猗县
1980,142730,万荣县
1980,142731,新绛县
